Year,Round,Track,Driver,Team,QualifyingPosition,GridPosition,FinishingPosition,AirTemp,TrackTemp,WeatherCategory,NumLaps
2022,4,9,63,7,11.0,11.0,4.0,12.899367088607592,17.41898734177215,0,63
2022,4,9,77,0,8.0,7.0,5.0,12.899367088607592,17.41898734177215,0,63
2022,4,9,16,4,2.0,2.0,6.0,12.899367088607592,17.41898734177215,0,63
2022,4,9,22,1,16.0,12.0,7.0,12.899367088607592,17.41898734177215,0,63
2022,4,9,5,3,9.0,13.0,8.0,12.899367088607592,17.41898734177215,0,63
2022,4,9,20,5,4.0,8.0,9.0,12.899367088607592,17.41898734177215,0,63
2022,4,9,18,3,15.0,15.0,10.0,12.899367088607592,17.41898734177215,0,63
2022,4,9,23,10,20.0,18.0,11.0,12.899367088607592,17.41898734177215,0,63
2022,4,9,10,1,17.0,17.0,12.0,12.899367088607592,17.41898734177215,0,63
2022,4,9,44,7,13.0,14.0,13.0,12.899367088607592,17.41898734177215,0,63
2022,4,9,31,2,19.0,16.0,14.0,12.899367088607592,17.41898734177215,0,63
2022,4,9,24,0,14.0,0.0,15.0,12.899367088607592,17.41898734177215,0,63
2022,4,9,6,10,18.0,19.0,16.0,12.899367088607592,17.41898734177215,0,63
2022,4,9,47,5,12.0,10.0,17.0,12.899367088607592,17.41898734177215,0,63
2022,4,9,3,6,6.0,6.0,18.0,12.899367088607592,17.41898734177215,0,63
2022,4,9,14,2,5.0,9.0,19.0,12.899367088607592,17.41898734177215,0,63
2022,4,9,55,4,10.0,4.0,20.0,12.899367088607592,17.41898734177215,0,63
2022,5,15,1,8,3.0,3.0,1.0,30.617283950617285,42.81975308641975,2,57
2022,5,15,16,4,1.0,1.0,2.0,30.617283950617285,42.81975308641975,2,57
2022,5,15,55,4,2.0,2.0,3.0,30.617283950617285,42.81975308641975,2,57
2022,5,15,11,8,4.0,4.0,4.0,30.617283950617285,42.81975308641975,2,57
2022,5,15,63,7,12.0,12.0,5.0,30.617283950617285,42.81975308641975,2,57
2022,5,15,44,7,6.0,6.0,6.0,30.617283950617285,42.81975308641975,2,57
2022,5,15,77,0,5.0,5.0,7.0,30.617283950617285,42.81975308641975,2,57
2022,5,15,31,2,20.0,20.0,8.0,30.617283950617285,42.81975308641975,2,57
2022,5,15,23,10,18.0,18.0,9.0,30.617283950617285,42.81975308641975,2,57
2022,5,15,18,3,10.0,0.0,10.0,30.617283950617285,42.81975308641975,2,57
2022,5,15,14,2,11.0,11.0,11.0,30.617283950617285,42.81975308641975,2,57
2022,5,15,22,1,9.0,9.0,12.0,30.617283950617285,42.81975308641975,2,57
2022,5,15,3,6,14.0,14.0,13.0,30.617283950617285,42.81975308641975,2,57
2022,5,15,6,10,19.0,19.0,14.0,30.617283950617285,42.81975308641975,2,57
2022,5,15,47,5,15.0,15.0,15.0,30.617283950617285,42.81975308641975,2,57
2022,5,15,20,5,16.0,16.0,16.0,30.617283950617285,42.81975308641975,2,57
2022,5,15,5,3,13.0,0.0,17.0,30.617283950617285,42.81975308641975,2,57
2022,5,15,10,1,7.0,7.0,18.0,30.617283950617285,42.81975308641975,2,57
2022,5,15,4,6,8.0,8.0,19.0,30.617283950617285,42.81975308641975,2,57
2022,5,15,24,0,17.0,17.0,20.0,30.617283950617285,42.81975308641975,2,57
2022,6,19,1,8,2.0,2.0,1.0,36.56585365853658,48.957317073170735,0,66
2022,6,19,11,8,5.0,5.0,2.0,36.56585365853658,48.957317073170735,0,66
2022,6,19,63,7,4.0,4.0,3.0,36.56585365853658,48.957317073170735,0,66
2022,6,19,55,4,3.0,3.0,4.0,36.56585365853658,48.957317073170735,0,66
2022,6,19,44,7,6.0,6.0,5.0,36.56585365853658,48.957317073170735,0,66
2022,6,19,77,0,7.0,7.0,6.0,36.56585365853658,48.957317073170735,0,66
2022,6,19,31,2,12.0,12.0,7.0,36.56585365853658,48.957317073170735,0,66
2022,6,19,4,6,11.0,11.0,8.0,36.56585365853658,48.957317073170735,0,66
2022,6,19,14,2,17.0,20.0,9.0,36.56585365853658,48.957317073170735,0,66
2022,6,19,22,1,13.0,13.0,10.0,36.56585365853658,48.957317073170735,0,66
2022,6,19,5,3,16.0,16.0,11.0,36.56585365853658,48.957317073170735,0,66
2022,6,19,3,6,9.0,9.0,12.0,36.56585365853658,48.957317073170735,0,66
2022,6,19,10,1,14.0,14.0,13.0,36.56585365853658,48.957317073170735,0,66
2022,6,19,47,5,10.0,10.0,14.0,36.56585365853658,48.957317073170735,0,66
2022,6,19,18,3,18.0,17.0,15.0,36.56585365853658,48.957317073170735,0,66
2022,6,19,6,10,20.0,19.0,16.0,36.56585365853658,48.957317073170735,0,66
2022,6,19,20,5,8.0,8.0,17.0,36.56585365853658,48.957317073170735,0,66
2022,6,19,23,10,19.0,18.0,18.0,36.56585365853658,48.957317073170735,0,66
2022,6,19,24,0,15.0,15.0,19.0,36.56585365853658,48.957317073170735,0,66
2022,6,19,16,4,1.0,1.0,20.0,36.56585365853658,48.957317073170735,0,66
2022,7,16,11,8,3.0,3.0,1.0,22.27469387755102,31.038367346938774,2,77
2022,7,16,55,4,2.0,2.0,2.0,22.27469387755102,31.038367346938774,2,77
2022,7,16,1,8,4.0,4.0,3.0,22.27469387755102,31.038367346938774,2,77
2022,7,16,16,4,1.0,1.0,4.0,22.27469387755102,31.038367346938774,2,77
2022,7,16,63,7,6.0,6.0,5.0,22.27469387755102,31.038367346938774,2,77
2022,7,16,4,6,5.0,5.0,6.0,22.27469387755102,31.038367346938774,2,77
2022,7,16,14,2,7.0,7.0,7.0,22.27469387755102,31.038367346938774,2,77
2022,7,16,44,7,8.0,8.0,8.0,22.27469387755102,31.038367346938774,2,77
2022,7,16,77,0,12.0,12.0,9.0,22.27469387755102,31.038367346938774,2,77
2022,7,16,5,3,9.0,9.0,10.0,22.27469387755102,31.038367346938774,2,77
2022,7,16,10,1,17.0,17.0,11.0,22.27469387755102,31.038367346938774,2,77
2022,7,16,31,2,10.0,10.0,12.0,22.27469387755102,31.038367346938774,2,77
2022,7,16,3,6,14.0,14.0,13.0,22.27469387755102,31.038367346938774,2,77
2022,7,16,18,3,18.0,18.0,14.0,22.27469387755102,31.038367346938774,2,77
2022,7,16,6,10,19.0,19.0,15.0,22.27469387755102,31.038367346938774,2,77
2022,7,16,24,0,20.0,20.0,16.0,22.27469387755102,31.038367346938774,2,77
2022,7,16,22,1,11.0,11.0,17.0,22.27469387755102,31.038367346938774,2,77
2022,7,16,23,10,16.0,16.0,18.0,22.27469387755102,31.038367346938774,2,77
2022,7,16,47,5,15.0,15.0,19.0,22.27469387755102,31.038367346938774,2,77
2022,7,16,20,5,13.0,13.0,20.0,22.27469387755102,31.038367346938774,2,77
2022,8,3,1,8,3.0,3.0,1.0,25.43540372670808,47.14968944099379,0,51
2022,8,3,11,8,2.0,2.0,2.0,25.43540372670808,47.14968944099379,0,51
2022,8,3,63,7,5.0,5.0,3.0,25.43540372670808,47.14968944099379,0,51
2022,8,3,44,7,7.0,7.0,4.0,25.43540372670808,47.14968944099379,0,51
2022,8,3,10,1,6.0,6.0,5.0,25.43540372670808,47.14968944099379,0,51
2022,8,3,5,3,9.0,9.0,6.0,25.43540372670808,47.14968944099379,0,51
2022,8,3,14,2,10.0,10.0,7.0,25.43540372670808,47.14968944099379,0,51
2022,8,3,3,6,12.0,12.0,8.0,25.43540372670808,47.14968944099379,0,51
2022,8,3,4,6,11.0,11.0,9.0,25.43540372670808,47.14968944099379,0,51
2022,8,3,31,2,13.0,13.0,10.0,25.43540372670808,47.14968944099379,0,51
2022,8,3,77,0,15.0,15.0,11.0,25.43540372670808,47.14968944099379,0,51
2022,8,3,23,10,17.0,17.0,12.0,25.43540372670808,47.14968944099379,0,51
2022,8,3,22,1,8.0,8.0,13.0,25.43540372670808,47.14968944099379,0,51
2022,8,3,47,5,20.0,20.0,14.0,25.43540372670808,47.14968944099379,0,51
2022,8,3,6,10,18.0,18.0,15.0,25.43540372670808,47.14968944099379,0,51
2022,8,3,18,3,19.0,19.0,16.0,25.43540372670808,47.14968944099379,0,51
2022,8,3,20,5,16.0,16.0,17.0,25.43540372670808,47.14968944099379,0,51
2022,8,3,24,0,14.0,14.0,18.0,25.43540372670808,47.14968944099379,0,51
2022,8,3,16,4,1.0,1.0,19.0,25.43540372670808,47.14968944099379,0,51
2022,8,3,55,4,4.0,4.0,20.0,25.43540372670808,47.14968944099379,0,51
2022,9,7,1,8,1.0,1.0,1.0,20.762962962962963,41.26111111111111,0,70
2022,9,7,55,4,3.0,3.0,2.0,20.762962962962963,41.26111111111111,0,70
2022,9,7,44,7,4.0,4.0,3.0,20.762962962962963,41.26111111111111,0,70
2022,9,7,63,7,8.0,8.0,4.0,20.762962962962963,41.26111111111111,0,70
2022,9,7,16,4,15.0,19.0,5.0,20.762962962962963,41.26111111111111,0,70
2022,9,7,31,2,7.0,7.0,6.0,20.762962962962963,41.26111111111111,0,70
2022,9,7,77,0,11.0,11.0,7.0,20.762962962962963,41.26111111111111,0,70
2022,9,7,24,0,10.0,10.0,8.0,20.762962962962963,41.26111111111111,0,70
2022,9,7,14,2,2.0,2.0,9.0,20.762962962962963,41.26111111111111,0,70
2022,9,7,18,3,18.0,17.0,10.0,20.762962962962963,41.26111111111111,0,70
2022,9,7,3,6,9.0,9.0,11.0,20.762962962962963,41.26111111111111,0,70
2022,9,7,5,3,17.0,16.0,12.0,20.762962962962963,41.26111111111111,0,70
2022,9,7,23,10,12.0,12.0,13.0,20.762962962962963,41.26111111111111,0,70
2022,9,7,10,1,16.0,15.0,14.0,20.762962962962963,41.26111111111111,0,70
2022,9,7,4,6,14.0,14.0,15.0,20.762962962962963,41.26111111111111,0,70
2022,9,7,6,10,19.0,18.0,16.0,20.762962962962963,41.26111111111111,0,70
2022,9,7,20,5,5.0,5.0,17.0,20.762962962962963,41.26111111111111,0,70
2022,9,7,22,1,20.0,20.0,18.0,20.762962962962963,41.26111111111111,0,70
2022,9,7,47,5,6.0,6.0,19.0,20.762962962962963,41.26111111111111,0,70
2022,9,7,11,8,13.0,13.0,20.0,20.762962962962963,41.26111111111111,0,70
2022,10,6,55,4,1.0,1.0,1.0,18.25320197044335,30.026108374384236,2,52
2022,10,6,11,8,4.0,4.0,2.0,18.25320197044335,30.026108374384236,2,52
2022,10,6,44,7,5.0,5.0,3.0,18.25320197044335,30.026108374384236,2,52
2022,10,6,16,4,3.0,3.0,4.0,18.25320197044335,30.026108374384236,2,52
2022,10,6,14,2,7.0,7.0,5.0,18.25320197044335,30.026108374384236,2,52
2022,10,6,4,6,6.0,6.0,6.0,18.25320197044335,30.026108374384236,2,52
2022,10,6,1,8,2.0,2.0,7.0,18.25320197044335,30.026108374384236,2,52
2022,10,6,47,5,19.0,19.0,8.0,18.25320197044335,30.026108374384236,2,52
2022,10,6,5,3,18.0,18.0,9.0,18.25320197044335,30.026108374384236,2,52
2022,10,6,20,5,17.0,17.0,10.0,18.25320197044335,30.026108374384236,2,52
2022,10,6,18,3,20.0,20.0,11.0,18.25320197044335,30.026108374384236,2,52
2022,10,6,6,10,10.0,10.0,12.0,18.25320197044335,30.026108374384236,2,52
2022,10,6,3,6,14.0,14.0,13.0,18.25320197044335,30.026108374384236,2,52
2022,10,6,22,1,13.0,13.0,14.0,18.25320197044335,30.026108374384236,2,52
2022,10,6,31,2,15.0,15.0,15.0,18.25320197044335,30.026108374384236,2,52
2022,10,6,10,1,11.0,11.0,16.0,18.25320197044335,30.026108374384236,2,52
2022,10,6,77,0,12.0,12.0,17.0,18.25320197044335,30.026108374384236,2,52
2022,10,6,63,7,8.0,8.0,18.0,18.25320197044335,30.026108374384236,2,52
2022,10,6,24,0,9.0,9.0,19.0,18.25320197044335,30.026108374384236,2,52
2022,10,6,23,10,16.0,16.0,20.0,18.25320197044335,30.026108374384236,2,52
2022,11,2,16,4,2.0,2.0,1.0,20.25592105263158,30.74671052631579,0,71
2022,11,2,1,8,1.0,1.0,2.0,20.25592105263158,30.74671052631579,0,71
2022,11,2,44,7,9.0,8.0,3.0,20.25592105263158,30.74671052631579,0,71
2022,11,2,63,7,4.0,4.0,4.0,20.25592105263158,30.74671052631579,0,71
2022,11,2,31,2,5.0,6.0,5.0,20.25592105263158,30.74671052631579,0,71
2022,11,2,47,5,7.0,9.0,6.0,20.25592105263158,30.74671052631579,0,71
2022,11,2,4,6,15.0,10.0,7.0,20.25592105263158,30.74671052631579,0,71
2022,11,2,20,5,6.0,7.0,8.0,20.25592105263158,30.74671052631579,0,71
2022,11,2,3,6,16.0,11.0,9.0,20.25592105263158,30.74671052631579,0,71
2022,11,2,14,2,8.0,19.0,10.0,20.25592105263158,30.74671052631579,0,71
2022,11,2,77,0,12.0,0.0,11.0,20.25592105263158,30.74671052631579,0,71
2022,11,2,23,10,11.0,15.0,12.0,20.25592105263158,30.74671052631579,0,71
2022,11,2,18,3,17.0,12.0,13.0,20.25592105263158,30.74671052631579,0,71
2022,11,2,24,0,18.0,13.0,14.0,20.25592105263158,30.74671052631579,0,71
2022,11,2,10,1,10.0,14.0,15.0,20.25592105263158,30.74671052631579,0,71
2022,11,2,22,1,14.0,16.0,16.0,20.25592105263158,30.74671052631579,0,71
2022,11,2,5,3,20.0,18.0,17.0,20.25592105263158,30.74671052631579,0,71
2022,11,2,55,4,3.0,3.0,18.0,20.25592105263158,30.74671052631579,0,71
2022,11,2,6,10,19.0,17.0,19.0,20.25592105263158,30.74671052631579,0,71
2022,11,2,11,8,13.0,5.0,20.0,20.25592105263158,30.74671052631579,0,71
2022,12,10,1,8,2.0,2.0,1.0,30.164843750000003,54.46171875,0,53
2022,12,10,44,7,4.0,4.0,2.0,30.164843750000003,54.46171875,0,53
2022,12,10,63,7,6.0,6.0,3.0,30.164843750000003,54.46171875,0,53
2022,12,10,11,8,3.0,3.0,4.0,30.164843750000003,54.46171875,0,53
2022,12,10,55,4,9.0,19.0,5.0,30.164843750000003,54.46171875,0,53
2022,12,10,14,2,7.0,7.0,6.0,30.164843750000003,54.46171875,0,53
2022,12,10,4,6,5.0,5.0,7.0,30.164843750000003,54.46171875,0,53
2022,12,10,31,2,12.0,10.0,8.0,30.164843750000003,54.46171875,0,53
2022,12,10,3,6,11.0,9.0,9.0,30.164843750000003,54.46171875,0,53
2022,12,10,18,3,17.0,15.0,10.0,30.164843750000003,54.46171875,0,53
2022,12,10,5,3,14.0,12.0,11.0,30.164843750000003,54.46171875,0,53
2022,12,10,10,1,16.0,14.0,12.0,30.164843750000003,54.46171875,0,53
2022,12,10,23,10,15.0,13.0,13.0,30.164843750000003,54.46171875,0,53
2022,12,10,77,0,13.0,11.0,14.0,30.164843750000003,54.46171875,0,53
2022,12,10,47,5,19.0,17.0,15.0,30.164843750000003,54.46171875,0,53
2022,12,10,24,0,18.0,16.0,16.0,30.164843750000003,54.46171875,0,53
2022,12,10,6,10,20.0,18.0,17.0,30.164843750000003,54.46171875,0,53
2022,12,10,20,5,10.0,20.0,18.0,30.164843750000003,54.46171875,0,53
2022,12,10,16,4,1.0,1.0,19.0,30.164843750000003,54.46171875,0,53
2022,12,10,22,1,8.0,8.0,20.0,30.164843750000003,54.46171875,0,53
2022,13,11,1,8,10.0,10.0,1.0,18.55988023952096,26.720958083832333,2,70
2022,13,11,44,7,7.0,7.0,2.0,18.55988023952096,26.720958083832333,2,70
2022,13,11,63,7,1.0,1.0,3.0,18.55988023952096,26.720958083832333,2,70
2022,13,11,55,4,2.0,2.0,4.0,18.55988023952096,26.720958083832333,2,70
2022,13,11,11,8,11.0,11.0,5.0,18.55988023952096,26.720958083832333,2,70
2022,13,11,16,4,3.0,3.0,6.0,18.55988023952096,26.720958083832333,2,70
2022,13,11,4,6,4.0,4.0,7.0,18.55988023952096,26.720958083832333,2,70
2022,13,11,14,2,6.0,6.0,8.0,18.55988023952096,26.720958083832333,2,70
2022,13,11,31,2,5.0,5.0,9.0,18.55988023952096,26.720958083832333,2,70
2022,13,11,5,3,18.0,18.0,10.0,18.55988023952096,26.720958083832333,2,70
2022,13,11,18,3,14.0,14.0,11.0,18.55988023952096,26.720958083832333,2,70
2022,13,11,10,1,19.0,0.0,12.0,18.55988023952096,26.720958083832333,2,70
2022,13,11,24,0,12.0,12.0,13.0,18.55988023952096,26.720958083832333,2,70
2022,13,11,47,5,15.0,15.0,14.0,18.55988023952096,26.720958083832333,2,70
2022,13,11,3,6,9.0,9.0,15.0,18.55988023952096,26.720958083832333,2,70
2022,13,11,20,5,13.0,13.0,16.0,18.55988023952096,26.720958083832333,2,70
2022,13,11,23,10,17.0,17.0,17.0,18.55988023952096,26.720958083832333,2,70
2022,13,11,6,10,20.0,19.0,18.0,18.55988023952096,26.720958083832333,2,70
2022,13,11,22,1,16.0,16.0,19.0,18.55988023952096,26.720958083832333,2,70
2022,13,11,77,0,8.0,8.0,20.0,18.55988023952096,26.720958083832333,2,70
2022,14,5,1,8,1.0,14.0,1.0,21.78717948717949,36.08397435897436,0,44
2022,14,5,11,8,3.0,2.0,2.0,21.78717948717949,36.08397435897436,0,44
2022,14,5,55,4,2.0,1.0,3.0,21.78717948717949,36.08397435897436,0,44
2022,14,5,63,7,8.0,5.0,4.0,21.78717948717949,36.08397435897436,0,44
2022,14,5,14,2,6.0,3.0,5.0,21.78717948717949,36.08397435897436,0,44
2022,14,5,16,4,4.0,15.0,6.0,21.78717948717949,36.08397435897436,0,44
2022,14,5,31,2,5.0,16.0,7.0,21.78717948717949,36.08397435897436,0,44
2022,14,5,5,3,16.0,10.0,8.0,21.78717948717949,36.08397435897436,0,44
2022,14,5,10,1,12.0,0.0,9.0,21.78717948717949,36.08397435897436,0,44
2022,14,5,23,10,9.0,6.0,10.0,21.78717948717949,36.08397435897436,0,44
2022,14,5,18,3,14.0,9.0,11.0,21.78717948717949,36.08397435897436,0,44
2022,14,5,4,6,10.0,17.0,12.0,21.78717948717949,36.08397435897436,0,44
2022,14,5,22,1,19.0,0.0,13.0,21.78717948717949,36.08397435897436,0,44
2022,14,5,24,0,13.0,18.0,14.0,21.78717948717949,36.08397435897436,0,44
2022,14,5,3,6,11.0,7.0,15.0,21.78717948717949,36.08397435897436,0,44
2022,14,5,20,5,18.0,12.0,16.0,21.78717948717949,36.08397435897436,0,44
2022,14,5,47,5,15.0,19.0,17.0,21.78717948717949,36.08397435897436,0,44
2022,14,5,6,10,17.0,11.0,18.0,21.78717948717949,36.08397435897436,0,44
2022,14,5,77,0,20.0,13.0,19.0,21.78717948717949,36.08397435897436,0,44
2022,14,5,44,7,7.0,4.0,20.0,21.78717948717949,36.08397435897436,0,44
2022,15,8,1,8,1.0,1.0,1.0,22.73006134969325,33.44601226993865,0,72
2022,15,8,63,7,6.0,6.0,2.0,22.73006134969325,33.44601226993865,0,72
2022,15,8,16,4,2.0,2.0,3.0,22.73006134969325,33.44601226993865,0,72
2022,15,8,44,7,4.0,4.0,4.0,22.73006134969325,33.44601226993865,0,72
2022,15,8,11,8,5.0,5.0,5.0,22.73006134969325,33.44601226993865,0,72
2022,15,8,14,2,13.0,13.0,6.0,22.73006134969325,33.44601226993865,0,72
2022,15,8,4,6,7.0,7.0,7.0,22.73006134969325,33.44601226993865,0,72
2022,15,8,55,4,3.0,3.0,8.0,22.73006134969325,33.44601226993865,0,72
2022,15,8,31,2,12.0,12.0,9.0,22.73006134969325,33.44601226993865,0,72
2022,15,8,18,3,10.0,10.0,10.0,22.73006134969325,33.44601226993865,0,72
2022,15,8,10,1,11.0,11.0,11.0,22.73006134969325,33.44601226993865,0,72
2022,15,8,23,10,15.0,15.0,12.0,22.73006134969325,33.44601226993865,0,72
2022,15,8,47,5,8.0,8.0,13.0,22.73006134969325,33.44601226993865,0,72
2022,15,8,5,3,19.0,19.0,14.0,22.73006134969325,33.44601226993865,0,72
2022,15,8,20,5,18.0,18.0,15.0,22.73006134969325,33.44601226993865,0,72
2022,15,8,24,0,14.0,14.0,16.0,22.73006134969325,33.44601226993865,0,72
2022,15,8,3,6,17.0,17.0,17.0,22.73006134969325,33.44601226993865,0,72
2022,15,8,6,10,20.0,20.0,18.0,22.73006134969325,33.44601226993865,0,72
2022,15,8,77,0,16.0,16.0,19.0,22.73006134969325,33.44601226993865,0,72
2022,15,8,22,1,9.0,9.0,20.0,22.73006134969325,33.44601226993865,0,72
2022,16,12,1,8,2.0,7.0,1.0,27.73469387755102,43.13877551020408,0,53
2022,16,12,16,4,1.0,1.0,2.0,27.73469387755102,43.13877551020408,0,53
2022,16,12,63,7,6.0,2.0,3.0,27.73469387755102,43.13877551020408,0,53
2022,16,12,55,4,3.0,18.0,4.0,27.73469387755102,43.13877551020408,0,53
2022,16,12,44,7,5.0,19.0,5.0,27.73469387755102,43.13877551020408,0,53
2022,16,12,11,8,4.0,13.0,6.0,27.73469387755102,43.13877551020408,0,53
2022,16,12,4,6,7.0,3.0,7.0,27.73469387755102,43.13877551020408,0,53
2022,16,12,10,1,9.0,5.0,8.0,27.73469387755102,43.13877551020408,0,53
2022,16,12,21,10,13.0,8.0,9.0,27.73469387755102,43.13877551020408,0,53
